Abel,able,,
accede,exceed,,
accept,except,,
acclamation,acclimation,,
acts,ax,,
ad,add,,
Adam,atom,,
addition,edition,,
adds,adz,ads,
adduce,educe,,
adherence,adherents,,
adieu,ado,,
ads,adds,adz,
aerial,ariel,,
affect,effect,,
affected,effected,,
affects,effects,,
afterward,afterword,,
aid,aide,,
ail,ale,,
air,heir,err,
aisle,isle,I'll,
ale,ail,,
all#ready,already,,
all#together,altogether,,
all#ways,always,,
all,awl,,
allowed,aloud,,
allude,elude,,
alluded,eluded,,
allusion,illusion,,
allusive,elusive,illusive,
aloud,allowed,,
already,all#ready,,
altar,alter,,
altogether,all#together,,
always,allways,,
amend,emend,,
analyst,annalist,,
ant,aunt,,
apatite,appetite,,
apprise,apprize,,
arc,ark,,
ariel,aerial,,
ark,arc,,
arrant,errant,,
ascent,assent,,
assistance,assistants,,
ate,eight,,
atom,Adam,,
auger,augur,,
aunt,ant,,
aural,oral,,
aureole,oriole,,
away,aweigh,,
awl,all,,
ax,acts,,
axel,axle,,
axes,axis,,
aye,eye,I,
ayes,eyes,,
baa,bah,,
baal,bail,bale,
babble,Babel,,
bad,bade,,
bah,baa,,
bail,bale,baal,
bait,bate,,
baited,bated,,
bald,balled,bawled,
bale,baal,bail,
ball,bawl,,
balled,bawled,bald,
balm,bomb,bombe,
band,banned,,
bard,barred,,
bare,bear,,
baron,barren,,
barred,bard,,
barren,baron,,
basal,basil,,
base,bass,,
based,baste,,
bases,basis,,
basil,basal,,
basis,bases,,
bask,basque,,
bass,base,,
baste,based,,
bate,bait,,
bated,baited,,
bawl,ball,,
bawled,bald,balled,
bazaar,bizarre,,
be,bee,,
beach,beech,,
bear,bare,,
beat,beet,,
beau,bow,,
bee,be,,
beech,beach,,
been,bin,,
beer,bier,,
beet,beat,,
bell,belle,,
berry,bury,,
berth,birth,,
better,bettor,,
bib,bibb,,
bier,beer,,
bight,bite,byte,
brayed,braid,,
billed,build,,
brays,braise,,
bin,been,,
breach,breech,,
bird,burred,,
bread,bred,,
birth,berth,,
break,brake,,
bite,byte,bight,
bred,bread,,
bizarre,bazaar,,
breech,breach,,
blew,blue,,
brewed,brood,,
brews,bruise,,
bridal,bridle,,
broach,brooch,,
blew,,,
blue,,,
brood,brewed,,
brows,browse,,
bruise,brews,,
bloc,block,,
brut,brute,,
blue,blew,,
build,billed,,
boar,bore,,
bullion,bouillon,,
board,bored,,
buoy,boy,,
carat,carrot,caret,karat
carol,carrel,,
carrot,caret,karat,carat
cash,cache,,
cast,caste,,
caster,castor,,
cause,caws,,
cedar,seeder,,
cede,seed,,
ceiling,sealing,,
cell,sell,,
cellar,seller,,
censor,sensor,,
cent,scent,sent,
cents,scents,sense,
cereal,serial,,
Ceres,series,,
cession,session,,
chance,chants,,
chased,chaste,,
chauffeur,shofar,,
cheap,cheep,,
check,Czech,,
cheep,cheap,,
chews,choose,,
chic,sheik,,
Chile,chilly,chili,
choir,quire,,
choose,chews,,
choral,coral,,
chord,cord,cored,
chute,shoot,,
cite,sight,site,
cited,sided,sighted,
clack,claque,,
clamber,clammer,clamor,
claque,clack,,
clause,claws,,
clew,clue,,
click,clique,,
climb,clime,,
clique,click,,
close,clothes,cloze,
clue,clew,,
coal,cole,,
coarse,course,,
coarser,courser,,
coat,cote,,
coax,cokes,,
coffers,coughers,,
cokes,coax,,
cole,coal,,
collard,collared,,
colonel,kernel,,
complacent,complaisant,,
complement,compliment,,
complementary,,,
complimentary,,,
conceded,conceited,,
confirmation,,,
conformation,,,
consonance,consonants,,
continence,continents,,
coo,coup,,
coolie,coulee,,
coop,coupe,,
cops,copse,,
coral,choral,,
cord,cored,chord,
core,corps,,
cored,chord,cord,
corps,core,,
correspondence,correspondents,,
cote,coat,,
coughers,coffers,,
coulee,coolie,,
council,counsel,,
coup,coo,,
coupe,coop,,
boarder,border,,
burger,burgher,,
bode,bowed,,
burred,bird,,
bold,bowled,,
burro,burrow,borough,
bolder,boulder,,
bury,berry,,
bomb,bombe,balm,
bussed,bust,,
bootie,booty,,
but,butt,,
border,boarder,,
buy,by,bye,
bore,boar,,
byte,bight,bite,
bored,board,,
born,borne,,
borough,burro,burrow,
cache,cash,,
bough,bow,,
caddie,caddy,,
bouillon,bullion,,
Cain,cane,,
boulder,bolder,,
calendar,calender,,
bow,beau,,
callous,callus,,
bow,bough,,
canapé,canopy,,
cane,Cain,,
bowled,bold,,
cannon,canon,,
boy,buoy,,
canopy,canapé,,
braid,brayed,,
canter,cantor,,
braise,brays,,
canvas,canvass,,
brake,break,,
capital,capitol,,
bowed,bode,,
course,coarse,,
courser,coarser,,
cousin,cozen,,
coward,cowered,,
coy,koi,,
cozen,cousin,,
craft,kraft,,
crape,crepe,,
crawl,kraal,,
creak,creek,,
crepe,crape,,
crewel,cruel,,
crews,cruise,,
cruel,crewel,,
cruise,crews,,
cue,queue,,
currant,current,,
curser,cursor,,
cygnet,signet,,
cymbal,symbol,,
cypress,Cyprus,,
Czech,check,,
dam,damn,,
Dane,deign,,
days,daze,,
dear,deer,,
defused,diffused,,
deign,Dane,,
dense,dents,,
descent,dissent,,
desert,dessert,,
dew,do,due,
die,dye,,
diffused,defused,,
disburse,disperse,,
discreet,discrete,,
disperse,disburse,,
dissent,descent,,
do,doe,dough,
do,due,dew,
doc,dock,,
doe,dough,do,
does,doze,,
done,dun,,
dough,do,doe,
doze,does,,
draft,draught,,
dual,duel,,
ducked,duct,,
ducks,ducts,,
duct,ducked,,
ducts,ducks,,
due,dew,do,
duel,dual,,
dun,done,,
dye,die,,
dyeing,dying,,
earn,urn,,
eave,eve,,
edition,addition,,
educe,adduce,,
eek,eke,,
effect,affect,,
effected,affected,,
effects,affects,,
eight,ate,,
eke,eek,,
elicit,illicit,,
elude,allude,,
eluded,alluded,,
elusive,illusive,allusive,
emend,amend,,
enumerable,innumerable,,
err,air,heir,
errant,arrant,,
eve,eave,,
ewe,you,yew,
ewes,yews,use,
exceed,accede,,
except,accept,,
exercise,exorcise,,
eye,I,aye,
eyed,I'd,,
eyelet,islet,,
eyes,ayes,,
facts,fax,,
faint,feint,,
fair,fare,,
fairy,ferry,,
fare,fair,,
fate,fete,,
faun,fawn,,
fax,facts,,
faze,phase,,
feat,feet,,
feint,faint,,
fends,fens,,
ferry,fairy,,
fete,fate,,
few,phew,,
fiancé,fiancée,,
fill,Phil,,
find,fined,,
finish,Finnish,,
fir,fur,,
fisher,fissure,,
flair,flare,,
flea,flee,,
flew,flu,flue,
flier,flyer,,
flocks,phlox,,
floe,flow,,
flour,flower,,
flow,floe,,
flower,flour,,
flu,flue,flew,
flyer,flier,,
foaled,fold,,
foe,faux,,
fold,foaled,,
for,four,fore,
foregone,forgone,,
foreword,forward,,
fort,forte,,
forth,fourth,,
forward,foreword,,
foul,fowl,,
four,fore,for,
fourth,forth,,
fowl,foul,,
franc,frank,,
frays,phrase,,
frees,freeze,frieze,
friar,fryer,,
frieze,frees,freeze,
fryer,friar,,
fur,fir,,
gaff,gaffe,,
Gail,gale,,
gait,gate,,
gale,Gail,,
gamble,gambol,,
gate,gait,,
gel,jell,,
gene,jean,,
gibe,jibe,,
gild,guild,,
gilder,guilder,,
gilt,guilt,,
hart,heart,,
gneiss,nice,,
haul,hall,,
gnome,Nome,,
have,halve,,
gnu,knew,new,
hay,hey,,
gofer,gopher,,
hays,haze,,
gored,gourd,,
he'd,heed,,
gorilla,guerilla,,
he'll,heal,heel,
gourd,gored,,
hear,here,,
grade,grayed,,
heard,herd,,
graft,graphed,,
heart,hart,,
graham,gram,,
heed,he'd,,
graphed,graft,,
heel,he'll,heal,
grate,great,,
heir,err,air,
grater,greater,,
herd,heard,,
grayed,grade,,
here,hear,,
grays,graze,,
heroin,heroine,,
grease,Greece,,
hertz,hurts,,
great,grate,,
hew,hue,Hugh,
greater,grater,,
hey,hay,,
Greece,grease,,
hi,high,,
grill,grille,,
higher,hire,,
grisly,grizzly,,
him,hymn,,
groan,grown,,
hire,higher,,
guerilla,gorilla,,
ho,hoe,,
guessed,guest,,
hoard,horde,,
guild,gild,,
hoarse,horse,,
guilder,gilder,,
hoe,ho,,
guilt,gilt,,
hoes,hose,,
gym,Jim,,
hold,holed,,
H,,,
hole,whole,,
hail,hale,,
holed,hold,,
hurts,hertz,,
hymn,him,,
I,aye,eye,
I'll,aisle,isle,
I'd,eyed,,
idle,idol,idyll,
illicit,elicit,,
illusion,allusion,,
illusive,allusive,elusive,
immanent,imminent,,
impassable,impassible,,
incite,insight,,
innocence,innocents,,
innumerable,enumerable,,
insight,incite,,
